Region,Market,Raw Material,Images,Quoted Value,Purchased Value,Quoted Date,Purchased Date,Purchased_Date,Country Image
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,670,660,12/1/2020,12/1/2020,12/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,580,640,11/1/2020,10/1/2020,10/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,700,620,8/1/2020,8/1/2020,8/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,630,6/1/2020,6/1/2020,6/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,610,4/1/2020,4/1/2020,4/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,560,615,2/1/2020,2/1/2020,2/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,800,580,12/1/2019,12/1/2019,12/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,596,10/1/2019,10/1/2019,10/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,550,610,8/1/2019,8/1/2019,8/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,643,650,6/1/2019,6/1/2019,6/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,780,680,4/1/2019,4/1/2019,4/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,650,2/1/2019,2/1/2019,2/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,560,620,12/1/2018,12/1/2018,12/1/2018,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,610,10/1/2018,10/1/2018,10/1/2018,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,540,8/1/2018,8/1/2018,8/1/2018,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,450,530,6/1/2018,6/1/2018,6/1/2018,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,450,4/1/2018,4/1/2018,4/1/2018,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,300,300,12/1/2020,12/1/2020,12/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,340,11/1/2020,10/1/2020,10/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,350,280,8/1/2020,8/1/2020,8/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,278,6/1/2020,6/1/2020,6/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,310,4/1/2020,4/1/2020,4/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,250,290,2/1/2020,2/1/2020,2/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,290,12/1/2019,12/1/2019,12/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,267,370,10/1/2019,10/1/2019,10/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,250,8/1/2019,8/1/2019,8/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,256,201,6/1/2019,6/1/2019,6/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,180,4/1/2019,4/1/2019,4/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,200,2/1/2019,2/1/2019,2/1/2019,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,350,12/1/2018,12/1/2018,12/1/2018,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,378,300,10/1/2018,10/1/2018,10/1/2018,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,320,8/1/2018,8/1/2018,8/1/2018,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,310,6/1/2018,6/1/2018,6/1/2018,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,143,280,4/1/2018,4/1/2018,4/1/2018,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1200,1200,12/1/2020,12/1/2020,12/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1300,1002,10/1/2020,10/1/2020,10/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,700,1347,8/1/2020,8/1/2020,8/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,850,800,6/1/2020,6/1/2020,6/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
United States,Fareway,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1300,890,4/1/2020,4/1/2020,4/1/2020,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg
